nohup: ignoring input
127.0.0.1 - - [24/Dec/2025 16:17:24] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:17:44] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:17:44] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2025 16:18:30] "GET / HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2025 16:18:30] "GET /script.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Dec/2025 16:18:31] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:31] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:31] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:34] "GET /api/search?q=ic HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:35] "GET /api/search?q=ici HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:36] "GET /api/search?q=icici HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:39] "GET /api/search?q=iciciamc HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:40] "GET /api/quote?symbol=ICICIAMC.NS HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:41] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:41] "GET /api/quote?symbol=IZMO.BO HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:41] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:41] "GET /api/quote?symbol=BTC-USD HTTP/1.1" 200 -
127.0.0.1 - - [24/Dec/2025 16:18:41] "GET /api/quote?symbol=RELIANCE.NS HTTP/1.1" 200 -
